freq,psd_x,psd_y,psd_z,psd_xyz
145.0,1.484e+05,3.521e+04,6.861e+02,1.843e+05
146.6,1.690e+05,2.993e+04,6.974e+02,1.997e+05
148.2,1.999e+05,2.579e+04,7.366e+02,2.264e+05
149.7,2.414e+05,2.824e+04,8.784e+02,2.705e+05
151.3,2.960e+05,3.867e+04,9.877e+02,3.357e+05
152.8,3.641e+05,5.122e+04,1.027e+03,4.163e+05
154.4,4.422e+05,6.456e+04,9.975e+02,5.078e+05
155.9,4.674e+05,7.366e+04,8.755e+02,5.419e+05
157.5,4.652e+05,8.609e+04,7.058e+02,5.520e+05
159.1,4.297e+05,1.134e+05,5.514e+02,5.437e+05
160.6,3.175e+05,1.342e+05,4.685e+02,4.523e+05
162.2,2.009e+05,1.187e+05,4.765e+02,3.201e+05
163.7,1.239e+05,1.068e+05,3.961e+02,2.311e+05
165.3,7.755e+04,1.051e+05,3.565e+02,1.830e+05
166.9,5.236e+04,1.086e+05,2.981e+02,1.613e+05
168.4,4.997e+04,1.144e+05,2.427e+02,1.646e+05
170.0,5.337e+04,1.162e+05,1.761e+02,1.698e+05
171.5,6.395e+04,1.099e+05,1.622e+02,1.741e+05
173.1,6.536e+04,9.918e+04,1.519e+02,1.647e+05
174.7,6.813e+04,8.980e+04,1.392e+02,1.581e+05
176.2,7.933e+04,8.128e+04,1.439e+02,1.608e+05
177.8,1.042e+05,7.486e+04,1.420e+02,1.792e+05
179.3,1.379e+05,7.121e+04,1.538e+02,2.093e+05
180.9,1.796e+05,7.003e+04,1.566e+02,2.497e+05
182.5,2.040e+05,6.991e+04,1.375e+02,2.740e+05
184.0,2.261e+05,7.223e+04,1.157e+02,2.984e+05
185.6,2.381e+05,7.482e+04,1.019e+02,3.130e+05
187.1,2.124e+05,6.775e+04,9.623e+01,2.803e+05
188.7,1.569e+05,6.432e+04,1.493e+02,2.213e+05
190.3,1.198e+05,7.692e+04,2.031e+02,1.969e+05
191.8,1.208e+05,9.750e+04,1.830e+02,2.185e+05
193.4,1.520e+05,1.067e+05,1.436e+02,2.588e+05
194.9,1.644e+05,1.111e+05,1.072e+02,2.756e+05
196.5,1.632e+05,1.149e+05,1.012e+02,2.782e+05
198.1,1.587e+05,1.147e+05,1.095e+02,2.736e+05
199.6,1.597e+05,1.104e+05,1.203e+02,2.703e+05
