freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.093e+02,4.288e+01,1.382e+01,9.660e+02
1.6,5.743e+02,8.744e+01,4.418e+01,7.059e+02
3.1,1.325e+02,7.269e+01,4.203e+01,2.472e+02
4.7,4.366e+02,8.383e+01,4.388e+01,5.643e+02
6.2,1.243e+03,8.866e+01,5.122e+01,1.383e+03
7.8,2.004e+03,1.002e+02,5.022e+01,2.154e+03
9.3,2.891e+03,9.418e+01,4.850e+01,3.033e+03
10.9,3.885e+03,1.168e+02,5.111e+01,4.053e+03
12.4,5.101e+03,1.287e+02,5.362e+01,5.284e+03
14.0,6.477e+03,1.149e+02,5.472e+01,6.646e+03
15.5,8.005e+03,1.065e+02,6.327e+01,8.175e+03
17.1,9.759e+03,1.004e+02,6.403e+01,9.923e+03
18.6,1.158e+04,9.820e+01,6.684e+01,1.174e+04
20.2,1.281e+04,1.198e+02,6.709e+01,1.299e+04
21.7,1.329e+04,1.147e+02,6.827e+01,1.347e+04
23.3,1.602e+04,1.248e+02,8.150e+01,1.622e+04
24.8,1.953e+04,1.532e+02,8.293e+01,1.977e+04
26.4,2.259e+04,1.627e+02,9.261e+01,2.284e+04
27.9,2.525e+04,1.592e+02,9.984e+01,2.551e+04
29.5,2.715e+04,1.818e+02,1.091e+02,2.745e+04
31.0,3.074e+04,2.114e+02,1.164e+02,3.107e+04
32.6,3.404e+04,2.301e+02,1.366e+02,3.441e+04
34.1,3.476e+04,2.239e+02,1.419e+02,3.512e+04
35.7,3.702e+04,2.521e+02,1.554e+02,3.743e+04
37.2,4.103e+04,3.658e+02,1.960e+02,4.159e+04
38.8,4.509e+04,6.217e+02,2.652e+02,4.598e+04
40.3,4.808e+04,8.769e+02,2.933e+02,4.925e+04
41.9,4.867e+04,7.568e+02,2.420e+02,4.967e+04
43.4,5.176e+04,5.940e+02,1.872e+02,5.254e+04
45.0,5.685e+04,6.717e+02,1.812e+02,5.770e+04
46.5,6.404e+04,1.033e+03,2.123e+02,6.528e+04
48.1,7.549e+04,1.696e+03,2.513e+02,7.744e+04
49.6,9.618e+04,2.537e+03,3.188e+02,9.904e+04
51.2,1.191e+05,2.841e+03,3.067e+02,1.222e+05
52.7,1.318e+05,2.967e+03,2.832e+02,1.350e+05
54.3,1.388e+05,3.173e+03,2.896e+02,1.422e+05
55.8,1.509e+05,3.419e+03,2.554e+02,1.546e+05
57.4,1.645e+05,3.979e+03,4.445e+02,1.690e+05
58.9,1.792e+05,4.210e+03,6.311e+02,1.840e+05
60.5,1.894e+05,3.761e+03,4.946e+02,1.937e+05
62.0,1.972e+05,2.691e+03,2.643e+02,2.001e+05
63.6,2.090e+05,2.280e+03,2.266e+02,2.115e+05
65.1,2.245e+05,2.354e+03,4.142e+02,2.273e+05
66.7,2.444e+05,2.175e+03,7.498e+02,2.473e+05
68.2,2.633e+05,1.855e+03,1.096e+03,2.663e+05
