freq,psd_x,psd_y,psd_z,psd_xyz
69.8,2.771e+05,2.465e+03,1.282e+03,2.809e+05
71.3,2.832e+05,3.221e+03,1.116e+03,2.876e+05
72.9,2.798e+05,3.561e+03,7.781e+02,2.841e+05
74.5,2.654e+05,4.251e+03,5.049e+02,2.702e+05
76.0,2.784e+05,4.668e+03,3.252e+02,2.834e+05
77.6,3.149e+05,5.631e+03,3.289e+02,3.209e+05
79.1,3.578e+05,7.685e+03,5.425e+02,3.660e+05
80.7,4.034e+05,9.563e+03,7.739e+02,4.138e+05
82.2,4.536e+05,1.118e+04,1.084e+03,4.658e+05
83.8,5.142e+05,1.510e+04,1.531e+03,5.309e+05
85.3,5.856e+05,2.125e+04,2.034e+03,6.089e+05
86.9,6.688e+05,2.624e+04,3.050e+03,6.980e+05
88.4,7.615e+05,3.397e+04,5.132e+03,8.006e+05
90.0,8.447e+05,4.531e+04,7.647e+03,8.977e+05
91.5,9.153e+05,5.765e+04,1.022e+04,9.831e+05
93.1,9.690e+05,8.000e+04,1.065e+04,1.060e+06
94.6,1.028e+06,1.290e+05,7.446e+03,1.164e+06
96.2,1.108e+06,1.721e+05,4.808e+03,1.285e+06
97.7,1.215e+06,1.856e+05,6.621e+03,1.407e+06
99.3,1.316e+06,1.595e+05,1.300e+04,1.488e+06
100.8,1.409e+06,1.226e+05,2.496e+04,1.557e+06
102.4,1.540e+06,8.392e+04,4.543e+04,1.670e+06
103.9,1.720e+06,4.987e+04,7.655e+04,1.847e+06
105.5,1.946e+06,4.413e+04,1.175e+05,2.107e+06
107.0,2.206e+06,7.989e+04,1.367e+05,2.422e+06
108.6,2.541e+06,1.366e+05,1.298e+05,2.807e+06
110.1,2.905e+06,1.609e+05,9.962e+04,3.165e+06
111.7,3.223e+06,1.860e+05,7.934e+04,3.488e+06
113.2,3.654e+06,2.104e+05,7.987e+04,3.944e+06
114.8,4.071e+06,2.172e+05,7.738e+04,4.366e+06
116.3,4.562e+06,2.115e+05,6.024e+04,4.834e+06
117.9,5.010e+06,2.219e+05,4.199e+04,5.274e+06
119.4,5.165e+06,2.412e+05,3.793e+04,5.444e+06
121.0,4.411e+06,1.675e+05,1.959e+04,4.598e+06
122.5,4.090e+06,1.188e+05,3.784e+03,4.212e+06
124.1,4.816e+06,1.463e+05,1.925e+03,4.964e+06
125.6,5.790e+06,1.720e+05,4.401e+03,5.966e+06
127.2,6.565e+06,2.197e+05,1.007e+04,6.794e+06
128.7,6.490e+06,2.979e+05,1.669e+04,6.805e+06
130.3,5.935e+06,3.816e+05,2.326e+04,6.340e+06
131.8,5.103e+06,4.437e+05,3.235e+04,5.579e+06
133.4,2.093e+06,2.290e+05,1.811e+04,2.340e+06
134.9,2.443e+05,1.611e+04,1.194e+03,2.616e+05
136.5,1.750e+05,3.124e+03,2.587e+02,1.784e+05
138.0,1.845e+05,2.180e+03,2.788e+02,1.869e+05
139.6,1.947e+05,2.610e+03,3.162e+02,1.976e+05
141.1,1.892e+05,3.350e+03,3.248e+02,1.929e+05
142.7,1.610e+05,3.403e+03,3.179e+02,1.647e+05
144.2,1.349e+05,3.133e+03,3.379e+02,1.384e+05
145.8,1.151e+05,2.799e+03,3.781e+02,1.183e+05
147.3,9.961e+04,2.603e+03,4.144e+02,1.026e+05
148.9,9.523e+04,3.041e+03,4.422e+02,9.872e+04
150.5,1.020e+05,3.559e+03,4.492e+02,1.060e+05
152.0,9.870e+04,4.359e+03,4.624e+02,1.035e+05
153.6,1.269e+05,5.284e+03,4.792e+02,1.327e+05
155.1,1.859e+05,5.216e+03,5.005e+02,1.916e+05
156.7,2.546e+05,4.950e+03,4.737e+02,2.600e+05
158.2,3.487e+05,4.749e+03,4.740e+02,3.540e+05
159.8,4.920e+05,4.539e+03,5.157e+02,4.971e+05
161.3,5.838e+05,4.593e+03,5.172e+02,5.889e+05
162.9,5.537e+05,4.175e+03,4.655e+02,5.583e+05
164.4,4.980e+05,3.726e+03,4.281e+02,5.021e+05
166.0,4.491e+05,3.635e+03,4.080e+02,4.532e+05
167.5,4.090e+05,3.907e+03,3.604e+02,4.132e+05
169.1,3.601e+05,3.601e+03,3.072e+02,3.641e+05
170.6,3.207e+05,3.821e+03,2.514e+02,3.247e+05
172.2,2.975e+05,4.319e+03,2.204e+02,3.021e+05
173.7,2.666e+05,4.543e+03,1.875e+02,2.713e+05
175.3,2.499e+05,6.311e+03,1.697e+02,2.564e+05
176.8,2.401e+05,7.974e+03,1.352e+02,2.482e+05
178.4,2.148e+05,9.010e+03,1.169e+02,2.239e+05
179.9,1.960e+05,1.020e+04,1.037e+02,2.063e+05
181.5,1.484e+05,1.009e+04,8.676e+01,1.586e+05
183.0,1.138e+05,9.314e+03,7.681e+01,1.232e+05
184.6,9.167e+04,8.599e+03,7.600e+01,1.003e+05
186.1,7.546e+04,7.790e+03,7.552e+01,8.332e+04
187.7,6.626e+04,7.149e+03,7.501e+01,7.348e+04
189.2,6.325e+04,6.182e+03,8.414e+01,6.951e+04
190.8,7.414e+04,5.547e+03,9.796e+01,7.979e+04
192.3,9.004e+04,6.159e+03,9.436e+01,9.629e+04
193.9,9.996e+04,6.226e+03,8.994e+01,1.063e+05
195.4,1.041e+05,5.798e+03,8.705e+01,1.100e+05
197.0,9.633e+04,5.933e+03,8.218e+01,1.023e+05
198.5,9.045e+04,6.867e+03,8.416e+01,9.740e+04
