freq,psd_x,psd_y,psd_z,psd_xyz
51.2,5.399e+03,1.314e+05,8.136e+03,1.449e+05
52.8,8.126e+03,1.418e+05,1.200e+04,1.619e+05
54.3,1.119e+04,1.978e+05,1.884e+04,2.278e+05
55.9,1.277e+04,3.413e+05,2.916e+04,3.832e+05
57.4,1.322e+04,5.901e+05,4.162e+04,6.450e+05
59.0,1.167e+04,9.296e+05,5.590e+04,9.972e+05
60.5,8.740e+03,1.284e+06,6.768e+04,1.360e+06
62.1,6.382e+03,1.630e+06,7.593e+04,1.712e+06
63.7,5.306e+03,1.975e+06,8.032e+04,2.061e+06
65.2,5.269e+03,2.364e+06,8.193e+04,2.451e+06
66.8,6.178e+03,2.855e+06,8.434e+04,2.945e+06
68.3,7.607e+03,3.472e+06,9.203e+04,3.572e+06
69.9,9.376e+03,4.266e+06,1.046e+05,4.380e+06
71.4,1.227e+04,5.335e+06,1.232e+05,5.470e+06
73.0,1.596e+04,6.585e+06,1.467e+05,6.748e+06
74.5,2.143e+04,7.635e+06,1.693e+05,7.826e+06
76.1,2.944e+04,9.986e+06,2.301e+05,1.025e+07
77.6,3.891e+04,1.406e+07,3.546e+05,1.445e+07
79.2,4.982e+04,2.015e+07,5.397e+05,2.074e+07
80.7,4.785e+04,2.735e+07,8.105e+05,2.820e+07
82.3,3.375e+04,3.239e+07,1.030e+06,3.346e+07
83.8,2.141e+04,3.597e+07,1.096e+06,3.709e+07
85.4,1.844e+04,3.524e+07,1.022e+06,3.628e+07
86.9,3.120e+04,3.430e+07,9.551e+05,3.529e+07
88.5,4.664e+04,3.216e+07,8.406e+05,3.305e+07
90.0,5.294e+04,2.201e+07,4.247e+05,2.249e+07
91.6,5.484e+04,1.782e+07,3.156e+05,1.819e+07
93.1,4.898e+04,1.532e+07,2.808e+05,1.565e+07
94.7,4.461e+04,1.342e+07,2.603e+05,1.372e+07
96.3,4.237e+04,1.193e+07,2.406e+05,1.221e+07
97.8,3.904e+04,1.059e+07,2.241e+05,1.085e+07
99.4,3.873e+04,9.442e+06,2.105e+05,9.692e+06
100.9,4.218e+04,8.553e+06,2.083e+05,8.804e+06
102.5,4.421e+04,7.623e+06,1.989e+05,7.866e+06
104.0,4.058e+04,6.627e+06,1.826e+05,6.851e+06
105.6,3.421e+04,5.749e+06,1.606e+05,5.944e+06
107.1,4.394e+04,5.284e+06,1.332e+05,5.461e+06
108.7,6.628e+04,4.968e+06,1.023e+05,5.137e+06
110.2,6.787e+04,4.843e+06,7.343e+04,4.984e+06
111.8,6.628e+04,4.684e+06,5.611e+04,4.806e+06
113.3,6.303e+04,4.461e+06,5.210e+04,4.576e+06
114.9,5.382e+04,4.230e+06,6.357e+04,4.347e+06
116.4,3.749e+04,3.982e+06,7.875e+04,4.098e+06
118.0,3.332e+04,3.640e+06,8.723e+04,3.760e+06
119.5,3.225e+04,3.151e+06,8.654e+04,3.269e+06
121.1,2.960e+04,2.311e+06,7.294e+04,2.413e+06
122.6,2.743e+04,1.758e+06,5.915e+04,1.845e+06
124.2,2.759e+04,1.573e+06,5.427e+04,1.655e+06
125.7,2.919e+04,1.395e+06,5.078e+04,1.475e+06
127.3,2.578e+04,1.221e+06,4.339e+04,1.290e+06
128.9,2.076e+04,1.053e+06,3.139e+04,1.106e+06
130.4,4.723e+04,9.101e+05,2.133e+04,9.787e+05
132.0,7.123e+04,7.839e+05,1.510e+04,8.702e+05
133.5,4.870e+04,4.081e+05,5.172e+03,4.620e+05
135.1,4.577e+04,2.094e+05,7.926e+02,2.560e+05
136.6,5.862e+04,1.930e+05,6.785e+02,2.523e+05
138.2,6.933e+04,1.843e+05,8.654e+02,2.545e+05
139.7,8.212e+04,1.799e+05,9.952e+02,2.630e+05
141.3,1.002e+05,1.697e+05,1.158e+03,2.711e+05
142.8,1.183e+05,1.606e+05,1.377e+03,2.803e+05
144.4,1.318e+05,1.551e+05,1.576e+03,2.885e+05
145.9,1.320e+05,1.515e+05,1.734e+03,2.853e+05
147.5,9.435e+04,1.622e+05,1.850e+03,2.584e+05
149.0,3.575e+04,1.796e+05,2.060e+03,2.175e+05
150.6,1.678e+04,1.799e+05,2.045e+03,1.987e+05
152.1,1.984e+04,1.894e+05,1.873e+03,2.111e+05
153.7,3.421e+04,2.087e+05,1.744e+03,2.446e+05
155.2,5.799e+04,2.409e+05,1.636e+03,3.006e+05
156.8,9.408e+04,2.879e+05,1.471e+03,3.834e+05
158.4,1.368e+05,3.448e+05,1.485e+03,4.831e+05
159.9,1.705e+05,3.975e+05,1.736e+03,5.697e+05
161.5,2.125e+05,4.121e+05,1.868e+03,6.264e+05
163.0,2.293e+05,3.866e+05,1.817e+03,6.177e+05
164.6,2.059e+05,3.279e+05,2.022e+03,5.358e+05
166.1,2.617e+05,2.894e+05,1.821e+03,5.528e+05
167.7,3.402e+05,2.749e+05,1.485e+03,6.165e+05
169.2,3.819e+05,2.629e+05,1.115e+03,6.459e+05
170.8,4.023e+05,2.490e+05,7.833e+02,6.522e+05
172.3,4.450e+05,2.444e+05,5.002e+02,6.899e+05
173.9,6.649e+05,2.189e+05,4.122e+02,8.842e+05
175.4,8.210e+05,2.089e+05,4.589e+02,1.030e+06
177.0,6.992e+05,2.079e+05,4.890e+02,9.077e+05
178.5,4.821e+05,1.886e+05,4.012e+02,6.711e+05
180.1,4.159e+05,1.987e+05,4.574e+02,6.151e+05
181.6,3.848e+05,1.999e+05,5.030e+02,5.852e+05
183.2,3.687e+05,1.998e+05,4.643e+02,5.689e+05
184.7,3.764e+05,1.981e+05,4.865e+02,5.750e+05
186.3,4.197e+05,1.990e+05,5.465e+02,6.192e+05
187.8,4.528e+05,2.018e+05,5.612e+02,6.552e+05
189.4,4.727e+05,2.048e+05,5.815e+02,6.781e+05
191.0,4.953e+05,2.062e+05,6.355e+02,7.022e+05
192.5,5.016e+05,2.058e+05,6.381e+02,7.081e+05
194.1,4.930e+05,2.028e+05,6.153e+02,6.965e+05
195.6,4.592e+05,1.910e+05,5.576e+02,6.507e+05
197.2,4.189e+05,1.767e+05,6.165e+02,5.961e+05
198.7,3.812e+05,1.672e+05,5.607e+02,5.489e+05
