freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.359e+02,5.466e+03,1.709e+02,5.972e+03
1.6,1.032e+03,4.768e+03,2.490e+02,6.049e+03
3.1,9.875e+02,1.674e+03,1.751e+02,2.836e+03
4.7,1.044e+03,1.908e+03,1.573e+02,3.109e+03
6.2,9.731e+02,2.891e+03,1.734e+02,4.037e+03
7.8,9.974e+02,3.842e+03,1.847e+02,5.024e+03
9.3,1.190e+03,4.861e+03,1.954e+02,6.246e+03
10.9,1.170e+03,5.992e+03,2.077e+02,7.370e+03
12.4,1.261e+03,7.182e+03,2.065e+02,8.650e+03
14.0,1.236e+03,8.806e+03,1.864e+02,1.023e+04
15.5,1.238e+03,1.082e+04,1.853e+02,1.225e+04
17.1,1.210e+03,1.311e+04,2.038e+02,1.453e+04
18.6,1.033e+03,1.563e+04,2.270e+02,1.689e+04
20.2,1.121e+03,1.735e+04,2.714e+02,1.874e+04
21.7,1.114e+03,1.730e+04,2.538e+02,1.867e+04
23.3,1.061e+03,1.739e+04,1.952e+02,1.865e+04
24.8,1.085e+03,1.984e+04,2.069e+02,2.114e+04
26.4,1.065e+03,2.251e+04,2.281e+02,2.381e+04
27.9,1.107e+03,2.417e+04,2.786e+02,2.555e+04
29.5,1.245e+03,2.430e+04,4.066e+02,2.595e+04
31.0,1.243e+03,2.777e+04,4.802e+02,2.949e+04
32.6,1.154e+03,3.298e+04,5.093e+02,3.464e+04
34.2,1.156e+03,3.503e+04,6.098e+02,3.679e+04
35.7,1.178e+03,3.795e+04,9.665e+02,4.009e+04
37.3,1.272e+03,4.287e+04,1.625e+03,4.577e+04
38.8,1.587e+03,5.528e+04,2.297e+03,5.916e+04
40.4,2.074e+03,7.579e+04,2.448e+03,8.031e+04
41.9,2.283e+03,9.275e+04,2.069e+03,9.710e+04
43.5,2.458e+03,9.591e+04,1.837e+03,1.002e+05
45.0,2.974e+03,1.069e+05,2.047e+03,1.119e+05
46.6,3.158e+03,1.182e+05,2.620e+03,1.240e+05
48.1,3.608e+03,1.253e+05,3.646e+03,1.326e+05
49.7,4.089e+03,1.296e+05,5.335e+03,1.390e+05
